date,value
2017-01-23,2305
2017-01-24,1405
2017-01-25,1746
2017-01-26,1701
2017-01-27,1973
2017-01-28,1031
2017-01-29,2094
2017-01-30,2261
2017-01-31,2044
2017-02-01,1844
2017-02-02,2048
2017-02-03,2199
2017-02-04,613
2017-02-05,2977
2017-02-06,2195
2017-02-07,1673
2017-02-08,1804
2017-02-09,2246
2017-02-10,1941
2017-02-11,984
2017-02-12,3032
2017-02-13,1944
2017-02-14,2510
2017-02-15,1653
2017-02-16,2768
2017-02-17,2143
2017-02-18,2304
2017-02-19,1477
2017-02-20,2605
2017-02-21,2344
2017-02-22,2650
2017-02-23,1685
2017-02-24,1759
2017-02-25,3151
2017-02-26,1469
2017-02-27,1932
2017-02-28,2568
2017-03-01,2048
2017-03-02,2291
2017-03-03,1800
2017-03-04,2185
2017-03-05,1346
2017-03-06,2829
2017-03-07,1940
2017-03-08,1659
2017-03-09,2333
2017-03-10,1769
2017-03-11,1332
2017-03-12,1326
2017-03-13,2346
2017-03-14,1920
2017-03-15,1933
2017-03-16,2538
2017-03-17,1436
2017-03-18,1634
2017-03-19,1807
2017-03-20,2047
2017-03-21,1978
2017-03-22,1856
2017-03-23,1969
2017-03-24,1946
2017-03-25,1640
2017-03-26,1593
2017-03-27,2137
2017-03-28,1554
2017-03-29,1421
2017-03-30,1843
2017-03-31,1921
2017-04-01,3128
2017-04-02,1647
2017-04-03,2471
2017-04-04,2373
2017-04-05,1405
2017-04-06,2386
2017-04-07,1408
2017-04-08,670
2017-04-09,2303
2017-04-10,1122
2017-04-11,2225
2017-04-12,1657
2017-04-13,2829
2017-04-14,2534
2017-04-15,1773
2017-04-16,1656
2017-04-17,1392
2017-04-18,1779
2017-04-19,1859
2017-04-20,1817
2017-04-21,2078
2017-04-22,2289
2017-04-23,2174
2017-04-24,1617
2017-04-25,1281
2017-04-26,2682
2017-04-27,1655
2017-04-28,1673
2017-04-29,1739
2017-04-30,1078
2017-05-01,1761
2017-05-02,1760
2017-05-03,2310
2017-05-04,2349
2017-05-05,2001
2017-05-06,2465
2017-05-07,2169
2017-05-08,1992
2017-05-09,2080
2017-05-10,1904
2017-05-11,1802
2017-05-12,1866
2017-05-13,1435
2017-05-14,2140
2017-05-15,1503
2017-05-16,2420
2017-05-17,1875
2017-05-18,2024
2017-05-19,2246
2017-05-20,2321
2017-05-21,1214
2017-05-22,1896
2017-05-23,2440
2017-05-24,1150
2017-05-25,2193
2017-05-26,872
2017-05-27,1488
2017-05-28,2019
2017-05-29,1171
2017-05-30,1507
2017-05-31,1264
2017-06-01,2824
2017-06-02,2082
2017-06-03,2283
2017-06-04,1888
2017-06-05,1823
2017-06-06,1191
2017-06-07,1854
2017-06-08,1619
2017-06-09,2428
2017-06-10,2570
2017-06-11,2733
2017-06-12,2426
2017-06-13,1700
2017-06-14,1442
2017-06-15,2383
2017-06-16,2178
2017-06-17,1115
2017-06-18,2177
2017-06-19,2407
2017-06-20,2029
2017-06-21,1907
2017-06-22,1596
2017-06-23,1276
2017-06-24,2400
2017-06-25,1845
2017-06-26,1883
2017-06-27,2866
2017-06-28,2342
2017-06-29,2185
2017-06-30,2071
2017-07-01,2759
2017-07-02,2859
2017-07-03,2464
2017-07-04,2291
2017-07-05,952
2017-07-06,2061
2017-07-07,1934
2017-07-08,2046
2017-07-09,2471
2017-07-10,630
2017-07-11,1715
2017-07-12,2134
2017-07-13,1766
2017-07-14,1291
2017-07-15,2434
2017-07-16,2138
2017-07-17,1514
2017-07-18,2157
2017-07-19,2410
2017-07-20,2002
2017-07-21,2400
2017-07-22,2039
2017-07-23,1802
2017-07-24,1420
2017-07-25,1957
2017-07-26,2097
2017-07-27,2437
2017-07-28,1942
2017-07-29,2228
2017-07-30,1517
2017-07-31,1608
2017-08-01,1944
2017-08-02,1472
2017-08-03,2410
2017-08-04,2231
2017-08-05,2139
2017-08-06,2169
2017-08-07,3010
2017-08-08,1765
2017-08-09,899
2017-08-10,2099
2017-08-11,1974
2017-08-12,1741
2017-08-13,1510
2017-08-14,1780
2017-08-15,2090
2017-08-16,1748
2017-08-17,3206
2017-08-18,1519
2017-08-19,1603
2017-08-20,855
2017-08-21,2125
2017-08-22,991
2017-08-23,1730
2017-08-24,1862
2017-08-25,1645
2017-08-26,2869
2017-08-27,2497
2017-08-28,2659
2017-08-29,1558
2017-08-30,2564
2017-08-31,2248
2017-09-01,2385
2017-09-02,2514
2017-09-03,1545
2017-09-04,1787
2017-09-05,2431
2017-09-06,672
2017-09-07,2756
2017-09-08,2276
2017-09-09,1977
2017-09-10,2110
2017-09-11,1485
2017-09-12,1825
2017-09-13,2550
2017-09-14,2649
2017-09-15,3348
2017-09-16,1963
2017-09-17,1670
2017-09-18,1742
2017-09-19,1490
2017-09-20,1961
2017-09-21,2191
2017-09-22,1982
2017-09-23,2548
2017-09-24,1882
2017-09-25,1826
2017-09-26,1709
2017-09-27,1183
2017-09-28,1216
2017-09-29,1410
2017-09-30,2650
2017-10-01,2447
2017-10-02,2687
2017-10-03,1333
2017-10-04,1015
2017-10-05,1669
2017-10-06,2087
2017-10-07,2249
2017-10-08,2523
2017-10-09,2142
2017-10-10,2871
2017-10-11,1888
2017-10-12,1543
2017-10-13,1159
2017-10-14,1555
2017-10-15,2121
2017-10-16,1555
2017-10-17,2468
2017-10-18,2706
2017-10-19,815
2017-10-20,2432
2017-10-21,880
2017-10-22,2200
2017-10-23,2612
2017-10-24,2032
2017-10-25,1360
2017-10-26,1707
2017-10-27,1869
2017-10-28,1908
2017-10-29,1898
2017-10-30,1945
2017-10-31,2106
2017-11-01,1395
2017-11-02,1878
2017-11-03,2759
2017-11-04,1807
2017-11-05,1778
2017-11-06,2539
2017-11-07,720
2017-11-08,2590
2017-11-09,1684
2017-11-10,2081
2017-11-11,2048
2017-11-12,2471
2017-11-13,1866
2017-11-14,1660
2017-11-15,2648
2017-11-16,817
2017-11-17,2010
2017-11-18,1326
2017-11-19,1619
2017-11-20,3005
2017-11-21,1977
2017-11-22,2097
2017-11-23,1109
2017-11-24,1635
2017-11-25,2098
2017-11-26,2177
2017-11-27,2308
2017-11-28,2004
2017-11-29,2263
2017-11-30,2226
2017-12-01,1085
2017-12-02,2018
2017-12-03,2383
2017-12-04,2294
2017-12-05,1818
2017-12-06,1597
2017-12-07,1440
2017-12-08,1934
2017-12-09,2566
2017-12-10,1024
2017-12-11,1670
2017-12-12,1430
2017-12-13,2392
2017-12-14,1722
2017-12-15,1764
2017-12-16,1891
2017-12-17,2222
2017-12-18,1803
2017-12-19,476
2017-12-20,2271
2017-12-21,2219
2017-12-22,1890
2017-12-23,1457
2017-12-24,2175
2017-12-25,2189
2017-12-26,1764
2017-12-27,1891
2017-12-28,1534
2017-12-29,1910
2017-12-30,1224
2017-12-31,2208
2018-01-01,1527
2018-01-02,2119
2018-01-03,1297
2018-01-04,1704
2018-01-05,1944
2018-01-06,1169
2018-01-07,2057
2018-01-08,1810
2018-01-09,1128
2018-01-10,1348
2018-01-11,2302
2018-01-12,2447
2018-01-13,1934
2018-01-14,2202
2018-01-15,2111
2018-01-16,2164
2018-01-17,2642
2018-01-18,1246
2018-01-19,2338
2018-01-20,1808
2018-01-21,1887
2018-01-22,1848
2018-01-23,1812
2018-01-24,1386
2018-01-25,2091
2018-01-26,2835
2018-01-27,1971
2018-01-28,1999
2018-01-29,1656
2018-01-30,1941
2018-01-31,2233
2018-02-01,1814
2018-02-02,1773
2018-02-03,2201
2018-02-04,1540
2018-02-05,2126
2018-02-06,2410
2018-02-07,2679
2018-02-08,1954
2018-02-09,2683
2018-02-10,2517
2018-02-11,1501
2018-02-12,1391
2018-02-13,1847
2018-02-14,2514
2018-02-15,1963
2018-02-16,1699
2018-02-17,2776
2018-02-18,2143
2018-02-19,839
2018-02-20,2158
2018-02-21,2260
2018-02-22,2112
2018-02-23,2224
2018-02-24,1966
2018-02-25,1340
2018-02-26,1814
2018-02-27,1527
2018-02-28,1533
2018-03-01,1368
2018-03-02,2226
2018-03-03,2048
2018-03-04,1775
2018-03-05,1675
2018-03-06,1988
2018-03-07,2539
2018-03-08,997
2018-03-09,2188
2018-03-10,1727
2018-03-11,1057
2018-03-12,1027
2018-03-13,1543
2018-03-14,2109
2018-03-15,2196
2018-03-16,1530
2018-03-17,2508
2018-03-18,2711
2018-03-19,2198
2018-03-20,1704
2018-03-21,2562
2018-03-22,2377
2018-03-23,2433
2018-03-24,1671
2018-03-25,582
2018-03-26,3058
2018-03-27,1194
2018-03-28,1982
2018-03-29,3190
2018-03-30,2165
2018-03-31,2474
2018-04-01,1248
2018-04-02,1111
2018-04-03,1733
2018-04-04,2545
2018-04-05,1826
2018-04-06,1602
2018-04-07,2098
2018-04-08,2540
2018-04-09,1277
2018-04-10,1394
2018-04-11,1605
2018-04-12,2547
2018-04-13,2117
2018-04-14,3066
2018-04-15,2468
2018-04-16,1982
2018-04-17,2632
2018-04-18,2105
2018-04-19,1647
2018-04-20,2339
2018-04-21,1651
2018-04-22,1854
2018-04-23,2663
2018-04-24,1949
2018-04-25,1598
2018-04-26,1767
2018-04-27,2510
2018-04-28,1723
2018-04-29,1806
2018-04-30,1744
2018-05-01,2091
2018-05-02,1807
2018-05-03,1199
2018-05-04,1556
2018-05-05,1533
2018-05-06,2621
2018-05-07,2406
2018-05-08,2293
2018-05-09,1747
2018-05-10,1592
2018-05-11,1746
2018-05-12,1474
2018-05-13,3248
2018-05-14,877
2018-05-15,2282
2018-05-16,1357
2018-05-17,1947
2018-05-18,1505
2018-05-19,1411
2018-05-20,1429
2018-05-21,2877
2018-05-22,1933
2018-05-23,1617
2018-05-24,2277
2018-05-25,2005
2018-05-26,2360
2018-05-27,1087
2018-05-28,2151
2018-05-29,2386
2018-05-30,1169
2018-05-31,2224
2018-06-01,2848
2018-06-02,1992
2018-06-03,2410
2018-06-04,2335
2018-06-05,1646
2018-06-06,2019
2018-06-07,1216
2018-06-08,1774
2018-06-09,2132
2018-06-10,2361
2018-06-11,2012
2018-06-12,2359
2018-06-13,1448
2018-06-14,1949
2018-06-15,2009
2018-06-16,2924
2018-06-17,1892
2018-06-18,1750
2018-06-19,2010
2018-06-20,1540
2018-06-21,2096
2018-06-22,1817
2018-06-23,1104
2018-06-24,1970
2018-06-25,1841
2018-06-26,1183
2018-06-27,1966
2018-06-28,2744
2018-06-29,2260
2018-06-30,2305
2018-07-01,1329
2018-07-02,2238
2018-07-03,2074
2018-07-04,2264
2018-07-05,2211
2018-07-06,1320
2018-07-07,1979
2018-07-08,1621
2018-07-09,1974
2018-07-10,1551
2018-07-11,2656
2018-07-12,1570
2018-07-13,1550
2018-07-14,2037
2018-07-15,1461
2018-07-16,1787
2018-07-17,1585
2018-07-18,2705
2018-07-19,2392
2018-07-20,1971
2018-07-21,1804
2018-07-22,2470
2018-07-23,2202
2018-07-24,2249
2018-07-25,1986
2018-07-26,1155
2018-07-27,1943
2018-07-28,1733
2018-07-29,2322
2018-07-30,2505
2018-07-31,1671
2018-08-01,2234
2018-08-02,2867
2018-08-03,1666
2018-08-04,2840
2018-08-05,1573
2018-08-06,2011
2018-08-07,1994
2018-08-08,2005
2018-08-09,1581
2018-08-10,1704
2018-08-11,1666
2018-08-12,2163
2018-08-13,2165
2018-08-14,3112
2018-08-15,2685
2018-08-16,1745
2018-08-17,2162
2018-08-18,2498
2018-08-19,2015
2018-08-20,1965
2018-08-21,2025
2018-08-22,2433
2018-08-23,1575
2018-08-24,1837
2018-08-25,2235
2018-08-26,2155
2018-08-27,2119
2018-08-28,1815
2018-08-29,2486
2018-08-30,3066
2018-08-31,2203
2018-09-01,1903
2018-09-02,2377
2018-09-03,1730
2018-09-04,1625
2018-09-05,2016
2018-09-06,708
2018-09-07,1423
2018-09-08,1826
2018-09-09,1323
2018-09-10,1483
2018-09-11,1781
2018-09-12,1178
2018-09-13,1796
2018-09-14,1732
2018-09-15,2012
2018-09-16,2577
2018-09-17,2086
2018-09-18,2010
2018-09-19,2049
2018-09-20,2113
2018-09-21,1491
2018-09-22,1942
2018-09-23,2154
2018-09-24,1314
2018-09-25,2432
2018-09-26,2540
2018-09-27,1684
2018-09-28,1879
2018-09-29,1560
2018-09-30,2349
2018-10-01,1469
2018-10-02,1888
2018-10-03,1570
2018-10-04,2025
2018-10-05,1102
2018-10-06,2663
2018-10-07,1517
2018-10-08,2029
2018-10-09,1893
2018-10-10,1618
2018-10-11,1556
2018-10-12,2468
2018-10-13,1737
2018-10-14,2135
2018-10-15,1599
2018-10-16,1676
2018-10-17,2236
2018-10-18,2465
2018-10-19,1912
2018-10-20,1289
2018-10-21,2998
2018-10-22,1571
2018-10-23,1229
2018-10-24,3297
2018-10-25,1797
2018-10-26,1269
2018-10-27,1658
2018-10-28,2183
2018-10-29,2095
2018-10-30,1574
2018-10-31,2911
2018-11-01,1739
2018-11-02,1407
2018-11-03,2480
2018-11-04,2664
2018-11-05,1591
2018-11-06,1299
2018-11-07,2515
2018-11-08,976
2018-11-09,1386
2018-11-10,2483
2018-11-11,1972
2018-11-12,1868
2018-11-13,2176
2018-11-14,1923
2018-11-15,1350
2018-11-16,2638
2018-11-17,2662
2018-11-18,2102
2018-11-19,2022
2018-11-20,3169
2018-11-21,1861
2018-11-22,1870
2018-11-23,2182
2018-11-24,2735
2018-11-25,2796
2018-11-26,1870
2018-11-27,2154
2018-11-28,1310
2018-11-29,1844
2018-11-30,1579
2018-12-01,1496
2018-12-02,2840
2018-12-03,1603
2018-12-04,1734
2018-12-05,2182
2018-12-06,2648
2018-12-07,2240
2018-12-08,3379
2018-12-09,1962
2018-12-10,2129
2018-12-11,2137
2018-12-12,2717
2018-12-13,2253
2018-12-14,1941
2018-12-15,1526
2018-12-16,2122
2018-12-17,2700
2018-12-18,1794
2018-12-19,2264
2018-12-20,2123
2018-12-21,2431
2018-12-22,1597
2018-12-23,3173
2018-12-24,1360
2018-12-25,1817
2018-12-26,2469
2018-12-27,2148
2018-12-28,2414
2018-12-29,1751
2018-12-30,1962
2018-12-31,2006
2019-01-01,2784
2019-01-02,2345
2019-01-03,2398
2019-01-04,1671
2019-01-05,2484
2019-01-06,2112
2019-01-07,2694
2019-01-08,3007
2019-01-09,1846
2019-01-10,1796
2019-01-11,1567
2019-01-12,1928
2019-01-13,1808
2019-01-14,2179
2019-01-15,1927
2019-01-16,1819
2019-01-17,2532
2019-01-18,1531
2019-01-19,2216
2019-01-20,1797
2019-01-21,2362
2019-01-22,2692
2019-01-23,1848
2019-01-24,2220
2019-01-25,2089
2019-01-26,1600
2019-01-27,2120
2019-01-28,2144
2019-01-29,2206
2019-01-30,1900
2019-01-31,2047
2019-02-01,1426
2019-02-02,1820
2019-02-03,2277
2019-02-04,2446
2019-02-05,1788
2019-02-06,2052
2019-02-07,2114
2019-02-08,2100
2019-02-09,2270
2019-02-10,1090
2019-02-11,1975
2019-02-12,2119
2019-02-13,1499
2019-02-14,2836
2019-02-15,2080
2019-02-16,2781
2019-02-17,1604
2019-02-18,1546
2019-02-19,2112
2019-02-20,1160
2019-02-21,2107
2019-02-22,2048
2019-02-23,2507
2019-02-24,2350
2019-02-25,1791
2019-02-26,1451
2019-02-27,2856
2019-02-28,1603
2019-03-01,1477
2019-03-02,1457
2019-03-03,2558
2019-03-04,1740
2019-03-05,1623
2019-03-06,2068
2019-03-07,1896
2019-03-08,1660
2019-03-09,2376
2019-03-10,2532
2019-03-11,2492
2019-03-12,2383
2019-03-13,2201
2019-03-14,1112
2019-03-15,2834
2019-03-16,2150
2019-03-17,2304
2019-03-18,2557
2019-03-19,2716
2019-03-20,2209
2019-03-21,2217
2019-03-22,1700
2019-03-23,2016
2019-03-24,1572
2019-03-25,1640
2019-03-26,1553
2019-03-27,1921
2019-03-28,2524
2019-03-29,3585
2019-03-30,2094
2019-03-31,1325
2019-04-01,2632
2019-04-02,1849
2019-04-03,1669
2019-04-04,2104
2019-04-05,1379
2019-04-06,2111
2019-04-07,1955
2019-04-08,2049
2019-04-09,2190
2019-04-10,2033
2019-04-11,2008
2019-04-12,2142
2019-04-13,2207
2019-04-14,1484
2019-04-15,1285
2019-04-16,1969
2019-04-17,1283
2019-04-18,2043
2019-04-19,2469
2019-04-20,2303
2019-04-21,1475
2019-04-22,1569
2019-04-23,2164
2019-04-24,1799
2019-04-25,1841
2019-04-26,2298
2019-04-27,1506
2019-04-28,1799
2019-04-29,1599
2019-04-30,1478
2019-05-01,1571
2019-05-02,2338
2019-05-03,2025
2019-05-04,1560
2019-05-05,1884
2019-05-06,1180
2019-05-07,1633
2019-05-08,3074
2019-05-09,1954
2019-05-10,2365
2019-05-11,1967
2019-05-12,2174
2019-05-13,2331
2019-05-14,1447
2019-05-15,1984
2019-05-16,2789
2019-05-17,1602
2019-05-18,1716
2019-05-19,1846
2019-05-20,2134
2019-05-21,2262
2019-05-22,2633
2019-05-23,2249
2019-05-24,1968
2019-05-25,2629
2019-05-26,2352
2019-05-27,1252
2019-05-28,3263
2019-05-29,2884
2019-05-30,1915
2019-05-31,2188
2019-06-01,2662
2019-06-02,1913
2019-06-03,2365
2019-06-04,2552
2019-06-05,1492
2019-06-06,1698
2019-06-07,2460
2019-06-08,2230
2019-06-09,2461
2019-06-10,1933
2019-06-11,1855
2019-06-12,1000
2019-06-13,1426
2019-06-14,2023
2019-06-15,2412
2019-06-16,2265
2019-06-17,1935
2019-06-18,1864
2019-06-19,2108
2019-06-20,2039
2019-06-21,2702
2019-06-22,2073
2019-06-23,1259
2019-06-24,1363
2019-06-25,2759
2019-06-26,1414
2019-06-27,2382
2019-06-28,1865
2019-06-29,1915
2019-06-30,1932
2019-07-01,2610
2019-07-02,1903
2019-07-03,1983
2019-07-04,1234
2019-07-05,2103
2019-07-06,2265
2019-07-07,2119
2019-07-08,2698
2019-07-09,2027
2019-07-10,2149
2019-07-11,2824
2019-07-12,1224
2019-07-13,1772
2019-07-14,2713
2019-07-15,2468
2019-07-16,2339
2019-07-17,2416
2019-07-18,2163
2019-07-19,2815
2019-07-20,2188
2019-07-21,2119
2019-07-22,2079
2019-07-23,2096
2019-07-24,1421
2019-07-25,2385
2019-07-26,1934
2019-07-27,2910
2019-07-28,1962
2019-07-29,2210
2019-07-30,2123
2019-07-31,1687
2019-08-01,2496
2019-08-02,2952
2019-08-03,1992
2019-08-04,1849
2019-08-05,1822
2019-08-06,1053
2019-08-07,1911
2019-08-08,2125
2019-08-09,2527
2019-08-10,2480
2019-08-11,1791
2019-08-12,1861
2019-08-13,2561
2019-08-14,1913
2019-08-15,1744
2019-08-16,2696
2019-08-17,2518
2019-08-18,2009
2019-08-19,1703
2019-08-20,994
2019-08-21,2294
2019-08-22,1551
2019-08-23,1018
2019-08-24,2792
2019-08-25,2323
2019-08-26,1430
2019-08-27,1392
2019-08-28,2435
2019-08-29,1561
2019-08-30,2648
2019-08-31,2308
2019-09-01,2268
2019-09-02,2202
2019-09-03,2095
2019-09-04,2440
2019-09-05,1772
2019-09-06,2042
2019-09-07,2375
2019-09-08,2281
2019-09-09,1402
2019-09-10,1749
2019-09-11,2126
2019-09-12,1795
2019-09-13,2887
2019-09-14,1803
2019-09-15,1918
2019-09-16,2384
2019-09-17,2165
2019-09-18,1927
2019-09-19,1621
2019-09-20,2150
2019-09-21,2519
2019-09-22,2239
2019-09-23,1610
2019-09-24,2868
2019-09-25,1276
2019-09-26,1208
2019-09-27,2480
2019-09-28,2112
2019-09-29,1725
2019-09-30,1450
2019-10-01,3160
2019-10-02,2058
2019-10-03,2267
2019-10-04,2158
2019-10-05,2217
2019-10-06,2270
2019-10-07,2366
2019-10-08,1812
2019-10-09,1854
2019-10-10,1129
2019-10-11,1609
2019-10-12,2135
2019-10-13,2522
2019-10-14,2299
2019-10-15,1829
2019-10-16,1368
2019-10-17,611
2019-10-18,2575
2019-10-19,1705
2019-10-20,1775
2019-10-21,2065
2019-10-22,1297
2019-10-23,1825
2019-10-24,3011
2019-10-25,2252
2019-10-26,2179
2019-10-27,1208
2019-10-28,3121
2019-10-29,1288
2019-10-30,2961
2019-10-31,942
2019-11-01,2702
2019-11-02,2809
2019-11-03,1587
2019-11-04,2211
2019-11-05,2273
2019-11-06,1593
2019-11-07,1275
2019-11-08,1341
2019-11-09,2270
2019-11-10,1957
2019-11-11,1717
2019-11-12,2483
2019-11-13,2254
2019-11-14,1622
2019-11-15,1399
2019-11-16,2261
2019-11-17,1731
2019-11-18,2049
2019-11-19,2788
2019-11-20,2251
2019-11-21,1568
2019-11-22,2080
2019-11-23,1523
2019-11-24,2804
2019-11-25,1719
2019-11-26,2103
2019-11-27,2153
2019-11-28,2079
2019-11-29,1020
2019-11-30,1276
2019-12-01,1773
2019-12-02,2159
2019-12-03,1931
